declaration_id,state,governor,eo_number,action_type,event_description,date_signed,end_date,weather_related,document_format,archive_record_url
MA-EO-350,MA,William Weld,350,administrative,Massachusetts Statewide Environmental Coordinating Council,1993-02-03,,False,html,https://archives.lib.state.ma.us/entities/journalfile/753f9bbf-53fb-4de6-b7f4-fce1ae2eda46
MA-EO-349,MA,William Weld,349,administrative,Establishing a Joint State and County Advisory Committee Regarding the Establishment of Boot Camp Correctional Facilities and Programs Within the Commonwealth,1993-01-27,,False,html,https://archives.lib.state.ma.us/entities/journalfile/fa186e6b-bdba-4ba2-b3ce-8f2d1e63834c
MA-EO-348,MA,William Weld,348,administrative,Establishing the State Policy for Providing Access to Electronic Equipment and Information Technology for Citizens With Disabilities,1993-01-12,,False,html,https://archives.lib.state.ma.us/entities/journalfile/a915d902-4641-44e3-88ee-c6756a511662
MA-EO-347,MA,William Weld,347,administrative,Governor's Special Commission on Regulation of Horse Drawn Carriages,1993-01-08,,False,html,https://archives.lib.state.ma.us/entities/journalfile/f51d900b-3d53-488e-97d6-e3770fe4d500
MA-EO-346,MA,William Weld,346,administrative,Establishing a Policy Governing the Hiring of State Employees by State Contractors in Connection With Privatization Initiatives,1992-12-02,,False,html,https://archives.lib.state.ma.us/entities/journalfile/ba53c6f5-0059-4a60-9b97-4d3566044723
MA-EO-345,MA,William Weld,345,administrative,Establishing a Green Ribbon Commission to Oversee the Centennial of the Metropolitan Park System and to Plan for the Future of the System,1992-11-24,,False,html,https://archives.lib.state.ma.us/entities/journalfile/e1ab7acf-39f4-45e8-b7ad-79b2d9def6d9
MA-EO-344,MA,William Weld,344,administrative,Establishing the State Policy for Providing Access to Electronic Equipment and Information Technology for Citizens With Disabilities,1992-11-02,,False,html,https://archives.lib.state.ma.us/entities/journalfile/a19f49d0-521f-449b-a1b7-89f54003adfe
MA-EO-343,MA,William Weld,343,administrative,Establishing a Policy for State Employees to Provide Voluntary Services to Public Schools,1992-10-20,,False,html,https://archives.lib.state.ma.us/entities/journalfile/a0d11b30-f50b-40a8-98e8-e0db3cb267c5
MA-EO-342,MA,William Weld,342,administrative,Massachusetts Neighborhood Crime Watch Commission,1992-10-13,,False,html,https://archives.lib.state.ma.us/entities/journalfile/3ed58e93-e7e5-49b5-ae03-8048a331cf88
MA-EO-341,MA,William Weld,341,administrative,"Providing for Non-discriminatory Visitation Privileges of Inmates, Patients and Residents of State Facilities",1992-09-23,,False,html,https://archives.lib.state.ma.us/entities/journalfile/789ba957-9295-488c-abbd-e665e0aaaf19
MA-EO-340,MA,William Weld,340,administrative,Providing for Non-discriminatory Benefit Policies for Employees of the Commonwealth,1992-09-23,,False,html,https://archives.lib.state.ma.us/entities/journalfile/c2b5aa8d-6d1c-48a2-852f-28fe6289a1ef
MA-EO-339,MA,William Weld,339,administrative,Alternative Facilities for Pretrial Detention of Juveniles,1992-08-14,,False,html,https://archives.lib.state.ma.us/entities/journalfile/04388c4b-1adf-45c0-9795-8ff23b3cac5b
MA-EO-338,MA,William Weld,338,administrative,Governor's Special Commission on Off-track Betting,1992-07-30,,False,html,https://archives.lib.state.ma.us/entities/journalfile/250b79f1-7c46-4b71-848e-1c7e83832904
MA-EO-337,MA,William Weld,337,administrative,Executive Order (new series) No. 337,1992-06-18,,False,html,https://archives.lib.state.ma.us/entities/journalfile/820d8ece-cb38-4f57-ac33-a35ee207a143
MA-EO-336,MA,William Weld,336,administrative,Establishing Further Regulations for Aides-de-camp to the Commander-in-chief,1992-05-15,,False,html,https://archives.lib.state.ma.us/entities/journalfile/3604e61c-b1aa-49bb-b43c-e511c9379e6f
MA-EO-335,MA,William Weld,335,administrative,Establishing a Catastrophic Illness Sick Leave Policy for the Commonwealth,1992-04-17,,False,html,https://archives.lib.state.ma.us/entities/journalfile/38f2a9a5-5b40-4dc9-a821-07d9de3db8c9
MA-EO-334,MA,William Weld,334,administrative,"Reestablishing a Commission to Advise the Governor and the Secretary of Public Safety Relative to Further Measures to Prevent, Respond Effectively to, and Protect the Victims of Domestic Violence in the Commonwealth",1992-04-10,,False,html,https://archives.lib.state.ma.us/entities/journalfile/fcd55951-e049-4f67-8d6e-54c589405ba5
MA-EO-333,MA,William Weld,333,administrative,Establishing a Special Commission on Foster Care in Massachusetts,1992-03-27,,False,html,https://archives.lib.state.ma.us/entities/journalfile/c421f55c-32aa-4af7-88ec-4fc332440e90
MA-EO-332,MA,William Weld,332,administrative,Establishing a Special Commission on Foster Care in Massachusetts,1992-03-26,,False,html,https://archives.lib.state.ma.us/entities/journalfile/8c829eff-6505-4ceb-b7c7-11bdf8537167
MA-EO-331,MA,William Weld,331,administrative,Establishing a Blue Ribbon Commission to Study and Oversee the Renovation and Restoration of the State House,1992-03-11,,False,html,https://archives.lib.state.ma.us/entities/journalfile/5ebf9d0b-d147-43ea-b6a4-832319bf0b89
MA-EO-330,MA,William Weld,330,administrative,Establishing a Special Commission on Foster Care in Massachusetts,1992-03-06,,False,html,https://archives.lib.state.ma.us/entities/journalfile/96b4e90a-dca5-4647-99e2-130a418139e7
MA-EO-329,MA,William Weld,329,administrative,Governor's Special Commission on Off-track Betting,1992-03-04,,False,html,https://archives.lib.state.ma.us/entities/journalfile/c491d96e-9606-44f6-9a17-d3fa322ca069
MA-EO-328,MA,William Weld,328,administrative,Asian-American Commission,1992-03-03,,False,html,https://archives.lib.state.ma.us/entities/journalfile/f2654218-9cf9-42b3-adaa-51da9f89a856
MA-EO-327,MA,William Weld,327,administrative,Establishing an Advisory Committee on the Coordination of Economic Development Programs in the Commonwealth,1992-02-26,,False,html,https://archives.lib.state.ma.us/entities/journalfile/9da0060d-388a-44db-b2b7-a17519380706
MA-EO-325,MA,William Weld,325,administrative,Governor's Commission on Gay and Lesbian Youth,1992-02-10,,False,html,https://archives.lib.state.ma.us/entities/journalfile/34622a7c-7356-4b81-a0fd-ce41b11b25cc
MA-EO-324,MA,William Weld,324,administrative,Executive Order (new series) No. 324,1992-02-07,,False,html,https://archives.lib.state.ma.us/entities/journalfile/f6f21dee-4c60-4bf4-bcc5-cf23eecd7302
MA-EO-323,MA,William Weld,323,administrative,Industrial Accident Board Nominating Panel,1992-02-07,,False,html,https://archives.lib.state.ma.us/entities/journalfile/c2ca4619-48a9-4961-87b5-9feb89157907
MA-EO-322,MA,William Weld,322,administrative,Governor's Commission on Computer Crime,1992-01-27,,False,html,https://archives.lib.state.ma.us/entities/journalfile/8549674b-354c-4eb2-9765-5db9b941e22a
MA-EO-321,MA,William Weld,321,administrative,Assistance for Minority Human Service Providers,1992-01-24,,False,html,https://archives.lib.state.ma.us/entities/journalfile/fb8287f9-0e16-45ba-8092-d2f6ca274eab
MA-EO-326,MA,William Weld,326,administrative,Governor's Advisory Committee on Information Technology,1992-01-11,,False,html,https://archives.lib.state.ma.us/entities/journalfile/7a563956-1bb3-4926-9aa2-cd281791f269
